# measurement: IV curve
# sample: Simulated diode
# source_meter: Keithley 2400 (GPIB0::5)
# exported: 2026-04-13T18:25:10.458793
#
current_mA,voltage_V,resistance_Ohm
-1.0,0.000548,-0.55
-0.99,2.9e-05,-0.03
-0.98,-0.000474,0.48
-0.97,-0.000682,0.7
-0.96,-0.000285,0.3
-0.95,0.000589,-0.62
-0.94,-0.000174,0.19
-0.93,0.000209,-0.22
-0.92,-1.6e-05,0.02
-0.91,0.000368,-0.4
-0.9,0.000238,-0.26
-0.89,0.000655,-0.74
-0.88,-0.000416,0.47
-0.87,-7.4e-05,0.09
-0.86,-0.000912,1.06
-0.85,5.5e-05,-0.06
-0.84,0.000231,-0.27
-0.83,0.000411,-0.49
-0.82,-0.000205,0.25
-0.81,-0.000716,0.88
-0.8,6.9e-05,-0.09
-0.79,0.000201,-0.25
-0.78,0.001164,-1.49
-0.77,-8.5e-05,0.11
-0.76,-0.000207,0.27
-0.75,-0.000828,1.1
-0.74,-0.000834,1.13
-0.73,0.00063,-0.86
-0.72,0.000371,-0.51
-0.71,-0.000499,0.7
-0.7,-0.000193,0.28
-0.69,-0.000315,0.46
-0.68,7.4e-05,-0.11
-0.67,-0.0004,0.6
-0.66,-0.000443,0.67
-0.65,-0.000594,0.91
-0.64,-0.000422,0.66
-0.63,-0.000797,1.26
-0.62,0.000733,-1.18
-0.61,-0.000342,0.56
-0.6,-0.000266,0.44
-0.59,0.000216,-0.37
-0.58,-0.000513,0.88
-0.57,-0.000629,1.1
-0.56,-0.000535,0.95
-0.55,0.000118,-0.21
-0.54,0.000481,-0.89
-0.53,-0.000149,0.28
-0.52,-0.000333,0.64
-0.51,-0.000151,0.3
-0.5,0.00029,-0.58
-0.49,0.000327,-0.67
-0.48,0.000711,-1.48
-0.47,2.8e-05,-0.06
-0.46,-5.4e-05,0.12
-0.45,8e-05,-0.18
-0.44,-0.000394,0.89
-0.43,-0.000342,0.8
-0.42,0.000958,-2.28
-0.41,-3.8e-05,0.09
-0.4,-0.00065,1.63
-0.39,6.4e-05,-0.16
-0.38,-0.000434,1.14
-0.37,0.000543,-1.47
-0.36,-0.000321,0.89
-0.35,0.000516,-1.47
-0.34,0.000214,-0.63
-0.33,-0.000245,0.74
-0.32,0.000383,-1.2
-0.31,-0.000483,1.56
-0.3,0.000138,-0.46
-0.29,0.000107,-0.37
-0.28,0.000152,-0.54
-0.27,4.5e-05,-0.17
-0.26,-0.000351,1.35
-0.25,0.000201,-0.8
-0.24,0.000799,-3.33
-0.23,-0.000207,0.9
-0.22,1.5e-05,-0.07
-0.21,-0.000272,1.3
-0.2,-1.2e-05,0.06
-0.19,-1.5e-05,0.08
-0.18,0.000443,-2.46
-0.17,0.000672,-3.95
-0.16,-5.7e-05,0.36
-0.15,0.000163,-1.09
-0.14,0.000181,-1.29
-0.13,0.000461,-3.54
-0.12,-0.000258,2.15
-0.11,-0.000636,5.78
-0.1,-7.3e-05,0.73
-0.09,-0.00067,7.44
-0.08,0.000484,-6.05
-0.07,-0.000637,9.1
-0.06,-3e-06,0.05
-0.05,8.8e-05,-1.76
-0.04,-0.000628,15.69
-0.03,-0.00027,8.99
-0.02,0.000133,-6.64
-0.01,-0.000498,49.84
0.0,-0.000567,inf
0.01,0.066373,6637.28
0.02,0.126404,6320.21
0.03,0.18229,6076.34
0.04,0.230189,5754.72
0.05,0.27573,5514.6
0.06,0.317369,5289.48
0.07,0.35478,5068.28
0.08,0.385456,4818.2
0.09,0.416175,4624.17
0.1,0.442902,4429.02
0.11,0.465949,4235.9
0.12,0.490558,4087.99
0.13,0.507815,3906.27
0.14,0.527947,3771.05
0.15,0.543729,3624.86
0.16,0.558746,3492.16
0.17,0.573114,3371.26
0.18,0.582537,3236.32
0.19,0.594639,3129.68
0.2,0.604866,3024.33
0.21,0.61482,2927.71
0.22,0.621936,2826.98
0.23,0.629171,2735.53
0.24,0.638166,2659.02
0.25,0.643287,2573.15
0.26,0.646696,2487.29
0.27,0.652452,2416.49
0.28,0.657295,2347.48
0.29,0.662425,2284.22
0.3,0.665875,2219.58
0.31,0.667746,2154.02
0.32,0.671561,2098.63
0.33,0.67273,2038.58
0.34,0.675261,1986.06
0.35,0.67989,1942.54
0.36,0.681146,1892.07
0.37,0.681441,1841.73
0.38,0.685577,1804.15
0.39,0.684785,1755.86
0.4,0.686377,1715.94
0.41,0.688844,1680.11
0.42,0.688907,1640.25
0.43,0.69033,1605.42
0.44,0.691719,1572.09
0.45,0.691817,1537.37
0.46,0.694165,1509.05
0.47,0.693574,1475.69
0.48,0.694468,1446.81
0.49,0.693873,1416.07
0.5,0.694661,1389.32
0.51,0.693681,1360.16
0.52,0.697349,1341.06
0.53,0.696886,1314.88
0.54,0.696722,1290.23
0.55,0.695901,1265.27
0.56,0.697423,1245.4
0.57,0.698642,1225.69
0.58,0.697866,1203.22
0.59,0.697543,1182.28
0.6,0.701496,1169.16
0.61,0.698388,1144.9
0.62,0.6986,1126.77
0.63,0.698698,1109.04
0.64,0.699817,1093.46
0.65,0.697851,1073.62
0.66,0.698405,1058.19
0.67,0.697332,1040.79
0.68,0.699072,1028.05
0.69,0.697489,1010.85
0.7,0.700202,1000.29
0.71,0.699365,985.02
0.72,0.699338,971.3
0.73,0.700295,959.31
0.74,0.700427,946.52
0.75,0.697978,930.64
0.76,0.698955,919.68
0.77,0.700959,910.34
0.78,0.699206,896.42
0.79,0.698267,883.88
0.8,0.699351,874.19
0.81,0.699099,863.09
0.82,0.698572,851.92
0.83,0.700738,844.26
0.84,0.699152,832.32
0.85,0.701219,824.96
0.86,0.700737,814.81
0.87,0.69966,804.21
0.88,0.699737,795.16
0.89,0.698858,785.23
0.9,0.701646,779.61
0.91,0.699214,768.37
0.92,0.700896,761.84
0.93,0.700232,752.94
0.94,0.702563,747.41
0.95,0.698227,734.98
0.96,0.698635,727.74
0.97,0.700851,722.53
0.98,0.700362,714.65
0.99,0.701482,708.57
1.0,0.700995,701.0
